Buy Time,Buy Price,Buy Size,Sell Time,Sell Price,Sell Size,PnL ($),Return (%),交易金额 ($)
2025-06-30 14:03:00,14.8,540,2025-06-30 14:06:00,15.55,540,405.0,5.07,7992.0
2025-06-30 14:50:00,24.82,337,2025-06-30 14:56:00,24.0,337,-276.34,-3.3,8364.34
2025-06-30 15:28:00,28.34,284,2025-06-30 15:30:00,27.25,284,-309.56,-3.85,8048.56
2025-06-30 16:25:00,22.8,342,2025-06-30 16:49:00,24.68,342,642.96,8.25,7797.6
2025-06-30 16:58:00,25.33,326,2025-06-30 17:05:00,27.44,326,687.86,8.33,8257.58
2025-06-30 18:10:00,26.29,335,2025-06-30 18:22:00,25.38,335,-304.85,-3.46,8807.15
2025-06-30 19:18:00,26.69,320,2025-06-30 19:23:00,28.12,320,457.6,5.36,8540.8
2025-06-30 19:51:00,29.07,310,2025-06-30 19:53:00,31.55,310,768.8,8.53,9011.7
2025-07-01 14:26:00,49.6,193,2025-07-01 14:41:00,53.72,193,795.16,8.31,9572.8
2025-07-01 14:59:00,54.11,189,2025-07-01 15:01:00,57.4,189,621.81,6.08,10226.79
2025-07-01 15:55:00,69.77,153,2025-07-01 15:59:00,67.34,153,-371.79,-3.48,10674.81
2025-07-01 16:50:00,66.5,155,2025-07-01 16:54:00,64.5,155,-310.0,-3.01,10307.5
2025-07-01 17:11:00,66.5,153,2025-07-01 17:28:00,63.89,153,-399.33,-3.92,10174.5
2025-07-01 18:33:00,55.05,179,2025-07-01 18:37:00,53.34,179,-306.09,-3.11,9853.95
